SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.2700, 65, 0.02853460, -0.23534232, -0.97176784, 0.07960304, -0.00381073, -0.23047160, -14.93200684, 3.92683959, -47.12623978, 13.28284550, 1.80411637, 27.70495224, -0.96471643, 0.10853355, 0.04286983, 0.23601875, 0.00020833, 0.00006858, 0.00026438, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2725, 66, 0.02949155, -0.23522912, -0.97041512, 0.08077396, -0.00307070, -0.30062157, -14.93200684, 3.92683959, -47.12623978, 13.28307438, 1.80447817, 27.70356941, -0.96471912, 0.10853525, 0.04287204, 0.23600665, -0.00073851, -0.00004062, -0.00109048, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2750, 67, 0.02841190, -0.23607421, -0.97153240, 0.07925855, 0.06548271, -0.23003276, -14.93200684, 3.92683959, -47.12623978, 13.28345585, 1.80467999, 27.70248795, -0.96472096, 0.10853843, 0.04287349, 0.23599720, 0.00034148, 0.00079152, 0.00003624, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2775, 68, 0.02777488, -0.23377682, -0.97006434, 0.15221395, 0.13658313, -0.36914670, -15.65987492, 3.83692050, -46.26759720, 13.28364563, 1.80509281, 27.70116806, -0.96472353, 0.10853967, 0.04287611, 0.23598561, 0.00098990, -0.00150054, -0.00144222, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 69, 0.02816231, -0.23485970, -0.97140473, 0.15255843, 0.06728971, -0.36958554, -15.65987492, 3.83692050, -46.26759720, 13.28393936, 1.80537820, 27.69970131, -0.96472633, 0.10854210, 0.04287773, 0.23597285, 0.00060364, -0.00043039, -0.00009533, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3050, 70, 0.02912698, -0.23413262, -0.97077644, 0.08077396, -0.00307070, -0.30062157, -15.16492653, 4.04673672, -46.89726639, 13.28538799, 1.80639994, 27.68515015, -0.96475506, 0.10855760, 0.04287552, 0.23584878, -0.00034141, -0.00117830, -0.00072425, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3075, 71, 0.02985035, -0.23511055, -0.96992242, 0.08146292, -0.14165761, -0.30149925, -15.16492653, 4.04673672, -46.89726639, 13.28559589, 1.80644071, 27.68396950, -0.96475726, 0.10855971, 0.04287517, 0.23583873, -0.00106165, -0.00019892, -0.00157380, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3100, 72, 0.02849088, -0.23451544, -0.96872216, 0.08111843, -0.07236414, -0.30106041, -15.16492653, 4.04673672, -46.89726639, 13.28574753, 1.80639911, 27.68283653, -0.96475941, 0.10856149, 0.04287406, 0.23582916, 0.00030044, -0.00078965, -0.00277295, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3125, 73, 0.02836898, -0.23500314, -0.96860641, 0.08228935, -0.07162410, -0.37121040, -15.16492653, 4.04673672, -46.89726639, 13.28599644, 1.80637920, 27.68160439, -0.96476173, 0.10856409, 0.04287323, 0.23581871, 0.00042229, -0.00030551, -0.00288455, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3150, 74, 0.02899285, -0.23487133, -0.96969020, 0.08194488, -0.00233067, -0.37077156, -15.42695904, 4.19660425, -46.58243561, 13.28616810, 1.80664623, 27.68042374, -0.96476406, 0.10856542, 0.04287472, 0.23580845, -0.00019994, -0.00044649, -0.00180253, 0.00000000, 0.00000000, 0.00000000, 0.00000000
